num	zhk	reg	meropr	nps26	nps25	nps24	n26	vklad	seg
59	Мякинино парк	Москва	Группа B (программа минимум)	+14,3	+12,2	-32,3	14	+0,1	Недобор
60	Никольские луга	Москва	Группа B (программа минимум)	-31,0	-22,2	-47,9	29	-0,5	Недобор
61	Новое Очаково	Москва	Группа B (программа минимум)	-33,3	-63,2	—	6	-0,1	Недобор
62	Новохохловская 15	Москва	Группа B (программа минимум)	-60,0	-20,9	-56,8	5	-0,2	Недобор
63	Нокса парк	Татарстан	Группа А (программа максимум)	-75,0	-42,1	—	12	-0,5	Недобор
64	Одинцово-1	МО	Группа B (программа минимум)	-43,2	-29,5	-38,2	37	-0,9	Недобор
65	Оранж парк	МО	Группа B (программа минимум)	-90,0	+26,4	-38,2	10	-0,5	Недобор
66	Орловский парк	Санкт-Петербург	Группа B (программа минимум)	-60,0	-72,2	-62,3	5	-0,2	Недобор
67	Открытый парк	Москва	Группа А (программа максимум)	-95,7	-32,9	—	23	-1,2	Недобор
68	Первый Дубровский	Москва	Группа А (программа максимум)	-72,1	+54,5	—	43	-1,7	Недобор
69	Перовское 2	Москва	Группа А (программа максимум)	-20,0	-45,7	-63,3	5	-0,1	Недобор
70	Петр1	Москва	Группа А (программа максимум)	+9,5	—	—	21	+0,1	Недобор
71	Лефортово парк	Москва	Группа А (программа максимум)	+22,2	-15,3	—	27	+0,3	Недобор
72	Полар	Москва	Группа B (программа минимум)	-66,7	—	—	3	-0,1	Недобор
73	Полярная 25	Москва	Группа B (программа минимум)	-74,3	-35,8	-30,2	35	-1,4	Недобор
74	Просторная 7	Москва	Группа B (программа минимум)	—	-31,2	-25,4	0	—	Недобор
75	Римского-Корсакова	Москва	Группа B (программа минимум)	-28,6	—	—	7	-0,1	Недобор
76	Руставели 14	Москва	Группа А (программа максимум)	-78,6	-24,3	-79,2	14	-0,6	Недобор
77	Савин парк	Нижегородская обл.	Группа С (не было мероприятий)	-77,8	-74,5	-58,8	36	-1,6	Недобор
