zhk,n_2024,nps_2024,n_2025,nps_2025,n_2026,nps_2026,delta_25_24,delta_26_25,delta_26_24
Савин парк,51,-58.82,55,-74.55,36,-77.78,-15.7,-3.2,-19.0
Саларьево парк,323,-34.37,187,-19.25,11,-63.64,15.1,,
Середневский лес,162,-48.77,209,-28.23,19,-5.26,20.5,,
Сиберово,0,,0,,8,-100.0,,,
Сигнальный 16,98,-41.84,57,-52.63,10,-70.0,-10.8,,
Сокольнический вал 1,57,-61.4,5,40.0,1,-100.0,,,
Столичные поляны,390,-49.49,46,-4.35,17,23.53,45.1,,
Таллинский парк,96,-36.46,107,-56.07,13,-53.85,-19.6,,
Томилинский,0,,43,-65.12,0,,,,
Томилинский бульвар,0,,0,,1,-100.0,,,
Утёс,0,,43,-41.86,4,75.0,,,
Уюн парк,50,-40.0,0,,0,,,,
Черноморский 1 и 2,402,-44.78,0,,0,,,,
Черняховского 19,99,-47.47,31,-6.45,2,-100.0,41.0,,
Шереметьевский,193,-41.45,57,35.09,3,-66.67,76.5,,
Шкиперский,0,,29,-58.62,0,,,,
Шкиперский 19,0,,0,,17,-100.0,,,
Юнино,0,,41,-41.46,2,-50.0,,,
Ютаново,33,-75.76,86,-47.67,6,-50.0,28.1,,
Янинский лес,112,-42.86,54,-35.19,17,-35.29,7.7,,
Ярославский,179,-46.93,72,-29.17,5,-80.0,17.8,,
Ярославский квартал,0,,0,,3,0.0,,,
Ярцевская,0,,4,-50.0,0,,,,
Ярцевская 24,55,-78.18,0,,0,,,,
Ясеневая 14,352,-6.25,90,-11.11,68,19.12,-4.9,30.2,25.4
Яуза парк,0,,0,,4,-50.0,,,
