ЖК,NPS_2024,n_2024,CSAT_2024,NPS_2025,n_2025,CSAT_2025,NPS_2026,n_2026,Δ 2025 vs 2024,hypothesis_2025_2024,Δ 2026 vs 2025,hypothesis_2026_2025,Δ 2026 vs 2024,hypothesis_2026_2024
Люберцы парк,-1.8,435,3.39,2.4,123,3.67,-9.7,31,4.2,,-12.1,гипотеза,-7.9,гипотеза
Люблинский парк,-40.9,731,2.82,-40.7,366,3.09,-44.7,38,0.2,,-4.0,гипотеза,-3.8,гипотеза
Матвеевский парк,-44.4,117,2.72,-50.0,96,3.01,-70.6,17,-5.6,,-20.6,гипотеза,-26.2,гипотеза
Мещерский лес,3.0,439,3.47,-47.8,322,2.73,-47.4,19,-50.8,,0.4,гипотеза,-50.4,гипотеза
Митино парк,-21.4,103,3.17,56.9,51,4.59,-10.0,20,78.3,,-66.9,гипотеза,11.4,гипотеза
Митинский лес,-9.8,41,3.63,-33.9,112,3.19,-89.8,49,-24.1,гипотеза,-55.9,гипотеза,-80.0,гипотеза
Михайловский парк,-56.0,545,2.53,-78.6,187,2.14,-85.3,109,-22.6,,-6.7,,-29.3,
Мичуринский парк,-54.6,97,2.58,-60.3,68,2.85,-23.1,13,-5.7,,37.2,гипотеза,31.5,гипотеза
Молодогвардейская 36,-83.1,65,2.06,26.9,26,3.81,-80.0,5,110.0,гипотеза,-106.9,гипотеза,3.1,гипотеза
Мякинино парк,-32.3,319,2.93,12.2,41,3.83,14.3,14,44.5,гипотеза,2.1,гипотеза,46.6,гипотеза
Никольские луга,-47.9,121,2.53,-22.2,63,3.27,-29.0,31,25.7,,-6.8,гипотеза,18.9,гипотеза
Новое Очаково,,0,,-63.2,68,2.72,-33.3,6,,гипотеза,29.9,гипотеза,,гипотеза
Новохохловская 15,-56.8,227,2.52,-20.9,43,3.28,-60.0,5,35.9,гипотеза,-39.1,гипотеза,-3.2,гипотеза
Нокса парк,,0,,-42.1,19,3.05,-75.0,12,,гипотеза,-32.9,гипотеза,,гипотеза
Одинцово-1,-38.2,607,2.76,-29.5,149,3.32,-39.1,46,8.7,,-9.6,гипотеза,-0.9,гипотеза
Оранж парк,-38.2,390,2.99,26.4,72,4.19,-90.0,10,64.6,,-116.4,гипотеза,-51.8,гипотеза
Орловский парк,-62.3,183,2.23,-72.2,18,2.44,-60.0,5,-9.9,гипотеза,12.2,гипотеза,2.3,гипотеза
Открытый парк,,0,,-32.9,79,3.1,-91.7,24,,гипотеза,-58.8,гипотеза,,гипотеза
Первый Дубровский,,0,,54.5,77,4.58,-72.1,43,,гипотеза,-126.6,гипотеза,,гипотеза
Перовское 2,-63.3,248,2.56,-45.7,70,3.14,-20.0,5,17.6,,25.7,гипотеза,43.3,гипотеза
Петр1,,0,,,0,,4.5,22,,гипотеза,,гипотеза,,гипотеза
Лефортово парк,-53.5,288,2.47,-15.3,111,3.34,22.2,27,38.2,,37.5,гипотеза,75.7,гипотеза
Полар,,0,,,0,,-66.7,3,,гипотеза,,гипотеза,,гипотеза
Полярная 25,-30.2,368,3.08,-35.8,120,2.97,-74.3,35,-5.6,,-38.5,гипотеза,-44.1,гипотеза
Просторная 7,-25.4,59,3.08,-31.2,16,3.0,,0,-5.8,гипотеза,,гипотеза,,гипотеза
Римского-Корсакова,-42.7,274,2.76,-48.6,74,2.74,-28.6,7,-5.9,,20.0,гипотеза,14.1,гипотеза
Руставели 14,-79.2,125,1.92,-24.3,74,3.12,-78.6,14,54.9,,-54.3,гипотеза,0.6,гипотеза
Савин парк,-58.8,51,2.31,-74.5,55,2.69,-77.8,36,-15.7,,-3.3,гипотеза,-19.0,гипотеза
Саларьево парк,-34.4,323,2.73,-19.3,187,3.32,-66.7,12,15.1,,-47.4,гипотеза,-32.3,гипотеза
Середневский лес,-48.8,162,2.39,-28.2,209,3.33,-5.3,19,20.6,,22.9,гипотеза,43.5,гипотеза
Сиберово,,0,,,0,,-100.0,8,,гипотеза,,гипотеза,,гипотеза
